scenario,time_s,hr_bpm,map_mmHg,sbp_mmHg,dbp_mmHg,co_L_min,sv_mL,svr_dyn_s_cm5,cvp_mmHg,SaO2_pct,SvO2_pct,PaO2_mmHg,PaCO2_mmHg,CPP_mmHg,ICP_mmHg,DO2_mL_min,lactate_mmol_L
cardiogenic,0.000,98.000,65.559,89.864,53.407,2.960,30.205,1534.000,8.800,94.172,42.237,66.561,40.000,60.559,5.000,454.148,3.162
cardiogenic,1.000,98.000,66.024,90.355,53.858,2.974,30.347,1534.000,8.997,94.191,42.505,66.644,40.000,61.024,5.000,456.390,3.148
cardiogenic,2.000,98.000,66.381,90.733,54.205,2.985,30.457,1534.000,9.149,94.207,42.709,66.708,40.000,61.381,5.000,458.115,3.137
cardiogenic,3.000,98.000,66.555,90.917,54.375,2.990,30.510,1534.000,9.223,94.214,42.808,66.739,40.000,61.555,5.000,458.956,3.132
cardiogenic,4.000,98.000,66.640,91.007,54.457,2.993,30.536,1534.000,9.259,94.218,42.856,66.754,40.000,61.640,5.000,459.367,3.129
cardiogenic,5.000,98.000,66.683,91.052,54.498,2.994,30.549,1534.000,9.277,94.219,42.880,66.762,40.000,61.683,5.000,459.571,3.128
cardiogenic,6.000,98.000,66.703,91.074,54.518,2.994,30.555,1534.000,9.285,94.220,42.892,66.766,40.000,61.703,5.000,459.670,3.127
cardiogenic,7.000,98.000,66.713,91.084,54.528,2.995,30.558,1534.000,9.290,94.221,42.898,66.767,40.000,61.713,5.000,459.718,3.127
cardiogenic,8.000,98.000,66.718,91.089,54.533,2.995,30.560,1534.000,9.292,94.221,42.900,66.768,40.000,61.718,5.000,459.742,3.127
cardiogenic,9.000,98.000,66.721,91.092,54.535,2.995,30.561,1534.000,9.293,94.221,42.902,66.769,40.000,61.721,5.000,459.754,3.127
cardiogenic,10.000,98.000,66.722,91.093,54.536,2.995,30.561,1534.000,9.293,94.221,42.903,66.769,40.000,61.722,5.000,459.759,3.127
cardiogenic,11.000,98.000,66.722,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.722,5.000,459.762,3.126
cardiogenic,12.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.764,3.126
cardiogenic,13.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.764,3.126
cardiogenic,14.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,15.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,16.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,17.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,18.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,19.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,20.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,21.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,22.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,23.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,24.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,25.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,26.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,27.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,28.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,29.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,30.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,31.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,32.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,33.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,34.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,35.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,36.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,37.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,38.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,39.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,40.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,41.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,42.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,43.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,44.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,45.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,46.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,47.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,48.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,49.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,50.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,51.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,52.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,53.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,54.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,55.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,56.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,57.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,58.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,59.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,60.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,61.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,62.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,63.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,64.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,65.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,66.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,67.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,68.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,69.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,70.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,71.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,72.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,73.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,74.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,75.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
cardiogenic,76.000,98.000,66.723,91.094,54.537,2.995,30.561,1534.000,9.294,94.221,42.903,66.769,40.000,61.723,5.000,459.765,3.126
