scenario,time_s,hr_bpm,map_mmHg,sbp_mmHg,dbp_mmHg,co_L_min,sv_mL,svr_dyn_s_cm5,cvp_mmHg,SaO2_pct,SvO2_pct,PaO2_mmHg,PaCO2_mmHg,CPP_mmHg,ICP_mmHg,DO2_mL_min,lactate_mmol_L,brainFlow_mL_100g_min,ACA_mL_100g_min,MCA_mL_100g_min,PCA_mL_100g_min,renalPerfusion_mL_min,urineOutput_mL_h,VT_mL,minuteVentilation_mL_min,alveolarVentilation_mL_min,airwayPressure_cmH2O,airwayFlow_mL_s,lungVolume_mL,breathDuration_s,respiratoryRate_per_min,PEEP_cmH2O,FiO2_pct,VT_mL_kg_PBW,preloadEDV_mL,strokeVolume_mL,contractility_relative,afterload_dimensionless
healthy,0,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047976526253,91.98355469387023,40,82.4,5,805.1740001712126,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,1.68,336,0,3.75,16,0,21,6,120,70,1,1
healthy,1,75.82845668099607,135.98264250866373,167.87220766613513,120.03785992992803,5.371457064681404,70.83695620073966,1919.4387824144005,7.105354908372454,99.89051661587335,74.56611503820014,267.47952371924634,30.163266492815843,131.96631585938215,4.0163266492815834,905.8872981631621,1,40.48567691800709,14.57484369048255,17.81369784392312,8.097135383601415,1147.8466522620581,123.30619870358522,630,19530,15190,17,-707.9625,331.14375000000007,1.935483870967742,31,17,88,9,118.06413084578617,70.83695620073966,1.1706476528826308,1.1048281016393604
healthy,2,78.84094868966757,176.32170205958278,208.2056767234257,160.3797147276613,5.5824916158262905,70.80700712773005,2406.8556548965717,8.368558135030185,99.96723367023897,77.79725484991539,405.57177558337236,22.423050643197417,173.07939699526304,3.2423050643197424,965.2935511692011,1,32.99915567964601,11.879696044672563,14.519628499044243,6.599831135929202,1258.8548518315415,133.2969366648387,630,19530,15190,23.3,976.5,62.99999999999994,1.935483870967742,31,17,88,9,116.54085636658127,70.80700712773005,1.3049249174418114,1.187314033905574
healthy,3,80.31568902699466,196.5384313198424,228.38689445695044,180.6141997512884,5.671634282877345,70.61676680593588,2645.4665195475545,8.986948738965905,99.97904364212746,79.26565868101987,473.17368573289343,18.633892530846182,193.67504206675778,2.863389253084618,992.3177138886318,1,29.334191648310362,10.56030899339173,12.90704432525656,5.86683832966207,1313.1979900732154,138.18781910658936,630,19530,15190,17,-659.1374999999999,287.04375000000005,1.935483870967742,31,17,88,9,115.79515005007052,70.61676680593588,1.3706592323748807,1.227694334077279
healthy,4,81.03763585914538,206.51976415796753,238.34401080460455,190.60764083464903,5.712102724309385,70.48703560698401,2762.2764782171157,9.289676701471029,99.98277381041501,79.96424715469925,506.2676370167099,16.778941780202057,203.84186997994732,2.677894178020206,1005.1034769226858,1,27.54003907419376,9.914414066709753,12.117617192645255,5.508007814838752,1339.801220153577,140.58210981382194,630,19530,15190,24.717499999999998,976.5,125.99999999999989,1.935483870967742,31,17,88,9,115.43009574234375,70.48703560698401,1.4028389179970548,1.2474621732367432
healthy,5,81.3910589094683,211.42318197898777,243.23404173332293,195.5177521018202,5.7311774674063445,70.41532011250969,2819.459819236992,9.437874650630082,99.9842774168533,80.3018178899892,522.4685048494863,15.870866111335317,208.83609536785423,2.587086611133532,1011.2592332974964,1,26.661726645562332,9.598221592402439,11.731159724047426,5.332345329112467,1352.8246095566928,141.75421486010237,630,19530,15190,17,-610.3125,246.0937500000001,1.935483870967742,31,17,88,9,115.25138645071077,70.41532011250969,1.418592214700555,1.2571393540247222
healthy,6,81.56407421604908,213.82736488926957,245.63131571419734,197.9253894768057,5.740341536152151,70.3783079906845,2847.453446898874,9.510423720604335,99.98494945812473,80.4660560201231,530.3995045746068,15.426325241395004,211.28473236513008,2.5426325241394996,1014.2482246561157,1,26.23175612164061,9.44343220379062,11.541972693521869,5.246351224328125,1359.200101218151,142.3280091096336,630,19530,15190,26.134999999999998,976.5,188.99999999999986,1.935483870967742,31,17,88,9,115.16390080750654,70.3783079906845,1.4263041097122793,1.2618767371675017
healthy,7,81.64877241636138,215.00517189600228,246.80565664484487,199.10492952158097,5.744786376157899,70.35973972594249,2861.1574938414906,9.54593951271885,99.98526440054327,80.54621824951236,534.282059341988,15.208703966183531,212.48430149938392,2.5208703966183514,1015.7056163356197,1,26.0212676377994,9.367656349607785,11.449357760631736,5.20425352755988,1362.3211699865924,142.60890529879333,630,19530,15190,17,-561.4875000000001,208.29375000000013,1.935483870967742,31,17,88,9,115.1210729405449,70.35973972594249,1.4300794035946478,1.264195883573175
healthy,8,81.69023571390376,215.581958682659,247.3807266973108,199.68257467533311,5.746952435013098,70.3505429356346,2867.8661957244253,9.563325972531063,99.98541535066072,80.58540418872965,536.1827316461325,15.102169285961603,213.07174175406286,2.51021692859616,1016.4176730115347,1,25.91822475610214,9.33056091219677,11.404018892684942,5.18364495122043,1363.849063171087,142.74641568539784,630,19530,15190,27.552499999999995,976.5,251.99999999999977,1.935483870967742,31,17,88,9,115.10010691547721,70.3505429356346,1.4319275672271379,1.2653312023533638
healthy,9,81.71053372539336,215.8643675038143,247.66229034345423,199.9654060839943,5.748010448456319,70.34601521235685,2871.1503847776708,9.571837368921358,99.98548848933858,80.60457378191222,537.1131899201774,15.05001612180539,213.35936589163376,2.5050016121805387,1016.7659199393559,1,25.867780972790538,9.312401150204593,11.381823628027837,5.173556194558108,1364.59703053625,142.8137327482625,630,19530,15190,17,-512.6625000000001,173.64375000000015,1.935483870967742,31,17,88,9,115.0898431727713,70.34601521235685,1.4328323203189197,1.265886988193144
