scenario,time_s,hr_bpm,map_mmHg,sbp_mmHg,dbp_mmHg,co_L_min,sv_mL,svr_dyn_s_cm5,cvp_mmHg,SaO2_pct,SvO2_pct,PaO2_mmHg,PaCO2_mmHg,CPP_mmHg,ICP_mmHg,DO2_mL_min,lactate_mmol_L,brainFlow_mL_100g_min,ACA_mL_100g_min,MCA_mL_100g_min,PCA_mL_100g_min,renalPerfusion_mL_min,urineOutput_mL_h,VT_mL,minuteVentilation_mL_min,alveolarVentilation_mL_min,airwayPressure_cmH2O,airwayFlow_mL_s,lungVolume_mL,breathDuration_s,respiratoryRate_per_min,PEEP_cmH2O,FiO2_pct,VT_mL_kg_PBW,preloadEDV_mL,strokeVolume_mL,contractility_relative,afterload_dimensionless
healthy,0,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047976526253,91.98355469387023,40,82.4,5,805.1740001712126,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,1.68,336,0,3.75,16,0,21,6,120,70,1,1
healthy,1,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047971765185,91.98355469387023,40,82.4,5,805.1739997853604,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,8.4,336,336,3.75,16,0,21,6,120,70,1,1
healthy,2,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047971765185,91.98355469387023,40,82.4,5,805.1739997853604,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,0,-235.2,205.79999999999998,3.75,16,0,21,6,120,70,1,1
healthy,3,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047971765185,91.98355469387023,40,82.4,5,805.1739997853604,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,0,-100.80000000000001,37.80000000000001,3.75,16,0,21,6,120,70,1,1
healthy,4,72,86.17808420478514,117.57140222373523,70.48142519531008,4.908851235880753,68.17848938723267,1300,6.409251621722914,99.74853095162604,71.1680539316976,200.70017737188897,31.581003502565604,82.01998385452858,4.158100350256559,816.9145441102045,1,39.47625437820699,14.211451576154515,17.369551926411074,7.895250875641398,956.6889130758207,106.10200217682386,560,13440,10080,10,-403.20000000000005,201.6,2.5,24,10,60,8,118.18149675655417,68.17848938723267,1,1
healthy,5,73.54378509645665,107.29979895685847,138.71322018725675,91.59308834165932,5.022024526673333,68.28618516284791,1595.0472859720492,7.1702165649164,99.91547391646631,73.439744706966,292.46365732000163,24.53503180632965,103.8462957762255,3.453503180632964,850.9217504557643,1,31.738727996572397,11.425942078766063,13.965040318491855,6.347745599314479,1050.0597501876823,114.5053775168914,560,13440,10080,13.36,672,0,2.5,24,10,60,8,117.21256451665911,68.28618516284791,1.070276784241683,1.0499310791645005
healthy,6,76.17581799908706,147.4474903733939,179.18639907960582,131.57803602028793,5.3345824845236445,70.02986806899241,2098.079842959853,7.542740606072,99.94458366722635,75.64203820548366,338.33014198526513,21.085735128962973,144.3389168604976,3.1085735128962964,911.4710032129731,1,29.25126820336831,10.530456553212591,12.870558009482055,5.850253640673662,1260.1913538448923,133.41722184604032,560,13440,10080,10,-604.8000000000001,453.6,2.5,24,10,60,8,117.41033419051402,70.02986806899241,1.1900932074211286,1.135059665731667
healthy,7,77.4643077542493,168.38977788933494,200.26805591209825,152.45063887795328,5.482651757240384,70.77648940766056,2344.3352357188423,7.725106643404175,99.95400075728301,76.63413222430442,360.78369700634175,19.39716070922061,165.45006181841288,2.939716070922059,940.546409566625,1,28.033553008121988,10.092079082923915,12.334763323573675,5.6067106016244,1363.0595278246067,142.67535750421462,560,13440,10080,10,-201.60000000000005,50.40000000000001,2.5,24,10,60,8,117.50715068486299,70.77648940766056,1.2487483380665725,1.1767336552754961
healthy,8,78.09507716731355,178.94172531922248,210.8840300585582,162.97057294955462,5.5540820342700865,71.11948967501283,2464.8875093649253,7.814382415966593,99.95783339507355,77.10253063288332,371.7756475943129,18.5705331854945,176.08467200067304,2.8570533185494495,954.6659760362592,1,27.437430690573382,9.877475048606417,12.072469503852288,5.487486138114678,1413.4177844302294,147.20760059872066,560,13440,10080,20.08,672,336,2.5,24,10,60,8,117.55454639217908,71.11948967501283,1.2774624680642734,1.1971348092771412
healthy,9,78.40386507258278,184.1782625173801,216.15096412924305,168.19191171144863,5.588810188362005,71.28233006355153,2523.902869468993,7.858086625825028,99.95955380706276,77.32801140104827,377.15666532691625,18.165864575694172,181.36167605981066,2.8165864575694175,961.5529065812113,1,27.1456039819417,9.772417433499012,11.944065752054348,5.429120796388341,1438.070248941341,149.4263224047207,560,13440,10080,10,-403.20000000000005,201.6,2.5,24,10,60,8,117.57774856539447,71.28233006355153,1.291519230916082,1.207122024063983
